="",="n",="% of total",="% of group"
="male",="",="",=""
="Control",="45",="25.42",="34.09"
="Free childcare",="49",="27.68",="37.12"
="Influencer video",="38",="21.47",="28.79"
="Total",="132",="74.58",="100.00"
="female",="",="",=""
="Control",="15",="8.47",="33.33"
="Free childcare",="19",="10.73",="42.22"
="Influencer video",="11",="6.21",="24.44"
="Total",="45",="25.42",="100.00"
="Total",="",="",=""
="Control",="60",="33.90",="33.90"
="Free childcare",="68",="38.42",="38.42"
="Influencer video",="49",="27.68",="27.68"
="Total",="177",="100.00",="100.00"
